SourceFile,ExifToolVersion,CreateDate,ModifyDate,Make,Model,ShutterSpeedValue,ApertureValue,SubjectDistance,MeteringMode,Flash,FocalLength,ExposureMode,FocalLengthIn35mmFormat,LensInfo,City,Province-State,By-line,Caption-Abstract,CopyrightNotice,Description,Creator
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-010.jpg,12.76,2022:11:04 19:28:33,2022:11:05 07:28:01,SONY,ILCE-1,1/1250,2.8,25.75 m,Multi-segment,"Off, Did not fire",161.0 mm,Manual,161 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-011.jpg,12.76,2022:11:04 19:29:17,2022:11:05 07:28:02,SONY,ILCE-1,1/1250,2.8,14.58 m,Multi-segment,"Off, Did not fire",206.0 mm,Manual,206 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-005.jpg,12.76,2022:11:04 19:13:22,2022:11:05 07:27:26,SONY,ILCE-1,1/1250,2.8,16.87 m,Multi-segment,"Off, Did not fire",120.0 mm,Manual,120 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-013.jpg,12.76,2022:11:04 19:41:21,2022:11:05 07:28:29,SONY,ILCE-1,1/1250,2.8,38.7 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-007.jpg,12.76,2022:11:04 19:16:48,2022:11:05 07:27:38,SONY,ILCE-1,1/1250,2.8,35.51 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-006.jpg,12.76,2022:11:04 19:16:20,2022:11:05 07:27:28,SONY,ILCE-1,1/1250,2.8,29.83 m,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-012.jpg,12.76,2022:11:04 19:33:45,2022:11:05 07:28:18,SONY,ILCE-1,1/1250,2.8,35.51 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-019.jpg,12.76,2022:11:11 21:29:08,2022:11:12 07:43:04,SONY,ILCE-1,1/1250,2.8,26.23 m,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-025.jpg,12.76,2022:11:11 21:52:48,2022:11:12 07:43:18,SONY,ILCE-1,1/1250,2.8,17.61 m,Multi-segment,"Off, Did not fire",120.0 mm,Manual,120 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-024.jpg,12.76,2022:11:11 21:48:25,2022:11:12 07:43:17,SONY,ILCE-1,1/1250,2.8,35.43 m,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-018.jpg,12.76,2022:11:11 21:21:57,2022:11:12 07:42:55,SONY,ILCE-1,1/1250,2.8,12.49 m,Multi-segment,"Off, Did not fire",120.0 mm,Manual,120 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-023.jpg,12.76,2022:11:11 21:47:38,2022:11:12 07:43:16,SONY,ILCE-1,1/1250,2.8,60.26 m,Multi-segment,"Off, Did not fire",206.0 mm,Manual,206 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-022.jpg,12.76,2022:11:11 21:33:56,2022:11:12 07:43:11,SONY,ILCE-1,1/1250,2.8,6.99 m,Multi-segment,"Off, Did not fire",133.0 mm,Manual,133 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-020.jpg,12.76,2022:11:11 21:33:51,2022:11:12 07:43:07,SONY,ILCE-1,1/1250,2.8,27.38 m,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-008.jpg,12.76,2022:11:11 21:05:04,2022:11:12 07:42:42,SONY,ILCE-1,1/1250,2.8,59.45 m,Multi-segment,"Off, Did not fire",171.0 mm,Manual,171 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-009.jpg,12.76,2022:11:11 21:12:27,2022:11:12 07:42:45,SONY,ILCE-1,1/1250,2.8,37.07 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-021.jpg,12.76,2022:11:11 21:33:54,2022:11:12 07:43:11,SONY,ILCE-1,1/1250,2.8,18.11 m,Multi-segment,"Off, Did not fire",153.0 mm,Manual,153 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
